Division,Conference,Season,Top_N,Event,Gender,#,Athlete,Year,Team,Mark,Conv,Meet,Meet Date,Wind
NCAA Div. III,NESCAC,SCIAC Outdoor Performance List (2025),Top 20,Long Jump,Women,1,"Kirkland, Kennedy",JR-3,Bowdoin,5.91m,"19' 4.75""",NESCAC Championship,4/25/26,0.5
NCAA Div. III,NESCAC,SCIAC Outdoor Performance List (2025),Top 20,Long Jump,Women,2,"Hughes, Heloise",JR-3,Amherst,5.81m,"19' 0.75""",NESCAC Championship,4/25/26,1.6
NCAA Div. III,NESCAC,SCIAC Outdoor Performance List (2025),Top 20,Long Jump,Women,3,"Ayres, Eliza",FR-1,Williams,5.80m,"19' 0.5""",Bobbi Palma UAlbany Spring Classic,4/17/26,0.6
NCAA Div. III,NESCAC,SCIAC Outdoor Performance List (2025),Top 20,Long Jump,Women,4,"Cumberland, Elysse",SO-2,Tufts,5.77m,"18' 11.25""",Tufts Spring Stampede,4/10/26,-0.2
NCAA Div. III,NESCAC,SCIAC Outdoor Performance List (2025),Top 20,Long Jump,Women,5,"Zipoli, Lauren",SO-2,Tufts,5.67m,"18' 7.25""",NESCAC Championship,4/25/26,0.8
NCAA Div. III,NESCAC,SCIAC Outdoor Performance List (2025),Top 20,Long Jump,Women,6,"Kieh, Blessing",SO-2,Connecticut College,5.58m,"18' 3.75""",Trinity Invitational,4/18/26,0
NCAA Div. III,NESCAC,SCIAC Outdoor Performance List (2025),Top 20,Long Jump,Women,7,"Kramarchuk, Anna",FR-1,Amherst,5.57m,"18' 3.25""",NESCAC Championship,4/25/26,0.9
NCAA Div. III,NESCAC,SCIAC Outdoor Performance List (2025),Top 20,Long Jump,Women,8,"Rubio, Emily",SR-4,Middlebury,5.56m,"18' 3""",Amherst Spring Fling,4/4/26,0
NCAA Div. III,NESCAC,SCIAC Outdoor Performance List (2025),Top 20,Long Jump,Women,9,"Campbell, Alayah",FR-1,Amherst,5.53m,"18' 1.75""",NESCAC Championship,4/25/26,0.3
NCAA Div. III,NESCAC,SCIAC Outdoor Performance List (2025),Top 20,Long Jump,Women,10,"Tarby, Kelsey",JR-3,Williams,5.51m,"18' 1""",Emory Thrills in the Hills 2026,3/26/26,0.3
NCAA Div. III,NESCAC,SCIAC Outdoor Performance List (2025),Top 20,Long Jump,Women,10,"Stoetzel, Emmeline",SO-2,Hamilton,5.51m,"18' 1""",NESCAC Championship,4/25/26,1.6
NCAA Div. III,NESCAC,SCIAC Outdoor Performance List (2025),Top 20,Long Jump,Women,12,"Johnson, Campbell",SO-2,Bates,5.50m,"18' 0.5""",Maine States' Pine Tree Classic,4/17/26,4.9
NCAA Div. III,NESCAC,SCIAC Outdoor Performance List (2025),Top 20,Long Jump,Women,13,"Young, Sophia",JR-3,Bowdoin,5.49m,"18' 0.25""",Maine States' Pine Tree Classic,4/17/26,2.8
NCAA Div. III,NESCAC,SCIAC Outdoor Performance List (2025),Top 20,Long Jump,Women,14,"Hopkins, Josie",FR-1,Colby,5.45m,"17' 10.75""",Maine States' Pine Tree Classic,4/17/26,2.8
NCAA Div. III,NESCAC,SCIAC Outdoor Performance List (2025),Top 20,Long Jump,Women,14,"King, Mireya",SO-2,Williams,5.45m,"17' 10.75""",NESCAC Championship,4/25/26,1.5
NCAA Div. III,NESCAC,SCIAC Outdoor Performance List (2025),Top 20,Long Jump,Women,16,"Yang, Anna",SO-2,Bowdoin,5.37m,"17' 7.5""",Maine States' Pine Tree Classic,4/17/26,3.8
NCAA Div. III,NESCAC,SCIAC Outdoor Performance List (2025),Top 20,Long Jump,Women,17,"Stanton, Cameron",SO-2,Tufts,5.35m,"17' 6.75""",NESCAC Championship,4/25/26,0.8
NCAA Div. III,NESCAC,SCIAC Outdoor Performance List (2025),Top 20,Long Jump,Women,17,"Lawrence, Olive",SR-4,Middlebury,5.35m,"17' 6.75""",NESCAC Championship,4/25/26,1.6
NCAA Div. III,NESCAC,SCIAC Outdoor Performance List (2025),Top 20,Long Jump,Women,17,"Lewis, Eleanor",FR-1,Tufts,5.35m,"17' 6.75""",NESCAC Championship,4/25/26,1.5
NCAA Div. III,NESCAC,SCIAC Outdoor Performance List (2025),Top 20,Long Jump,Women,20,"Smith, Leah",JR-3,Amherst,5.34m,"17' 6.25""",NESCAC Championship,4/25/26,1.3
NCAA Div. III,NESCAC,SCIAC Outdoor Performance List (2024),Top 20,Long Jump,Women,1,"Kirkland, Kennedy",JR-3,Bowdoin,5.91m,"19' 4.75""",NESCAC Championship,4/25/26,0.5
NCAA Div. III,NESCAC,SCIAC Outdoor Performance List (2024),Top 20,Long Jump,Women,2,"Hughes, Heloise",JR-3,Amherst,5.81m,"19' 0.75""",NESCAC Championship,4/25/26,1.6
NCAA Div. III,NESCAC,SCIAC Outdoor Performance List (2024),Top 20,Long Jump,Women,3,"Ayres, Eliza",FR-1,Williams,5.80m,"19' 0.5""",Bobbi Palma UAlbany Spring Classic,4/17/26,0.6
NCAA Div. III,NESCAC,SCIAC Outdoor Performance List (2024),Top 20,Long Jump,Women,4,"Cumberland, Elysse",SO-2,Tufts,5.77m,"18' 11.25""",Tufts Spring Stampede,4/10/26,-0.2
NCAA Div. III,NESCAC,SCIAC Outdoor Performance List (2024),Top 20,Long Jump,Women,5,"Zipoli, Lauren",SO-2,Tufts,5.67m,"18' 7.25""",NESCAC Championship,4/25/26,0.8
NCAA Div. III,NESCAC,SCIAC Outdoor Performance List (2024),Top 20,Long Jump,Women,6,"Kieh, Blessing",SO-2,Connecticut College,5.58m,"18' 3.75""",Trinity Invitational,4/18/26,0
NCAA Div. III,NESCAC,SCIAC Outdoor Performance List (2024),Top 20,Long Jump,Women,7,"Kramarchuk, Anna",FR-1,Amherst,5.57m,"18' 3.25""",NESCAC Championship,4/25/26,0.9
NCAA Div. III,NESCAC,SCIAC Outdoor Performance List (2024),Top 20,Long Jump,Women,8,"Rubio, Emily",SR-4,Middlebury,5.56m,"18' 3""",Amherst Spring Fling,4/4/26,0
NCAA Div. III,NESCAC,SCIAC Outdoor Performance List (2024),Top 20,Long Jump,Women,9,"Campbell, Alayah",FR-1,Amherst,5.53m,"18' 1.75""",NESCAC Championship,4/25/26,0.3
NCAA Div. III,NESCAC,SCIAC Outdoor Performance List (2024),Top 20,Long Jump,Women,10,"Tarby, Kelsey",JR-3,Williams,5.51m,"18' 1""",Emory Thrills in the Hills 2026,3/26/26,0.3
NCAA Div. III,NESCAC,SCIAC Outdoor Performance List (2024),Top 20,Long Jump,Women,10,"Stoetzel, Emmeline",SO-2,Hamilton,5.51m,"18' 1""",NESCAC Championship,4/25/26,1.6
NCAA Div. III,NESCAC,SCIAC Outdoor Performance List (2024),Top 20,Long Jump,Women,12,"Johnson, Campbell",SO-2,Bates,5.50m,"18' 0.5""",Maine States' Pine Tree Classic,4/17/26,4.9
NCAA Div. III,NESCAC,SCIAC Outdoor Performance List (2024),Top 20,Long Jump,Women,13,"Young, Sophia",JR-3,Bowdoin,5.49m,"18' 0.25""",Maine States' Pine Tree Classic,4/17/26,2.8
NCAA Div. III,NESCAC,SCIAC Outdoor Performance List (2024),Top 20,Long Jump,Women,14,"Hopkins, Josie",FR-1,Colby,5.45m,"17' 10.75""",Maine States' Pine Tree Classic,4/17/26,2.8
NCAA Div. III,NESCAC,SCIAC Outdoor Performance List (2024),Top 20,Long Jump,Women,14,"King, Mireya",SO-2,Williams,5.45m,"17' 10.75""",NESCAC Championship,4/25/26,1.5
NCAA Div. III,NESCAC,SCIAC Outdoor Performance List (2024),Top 20,Long Jump,Women,16,"Yang, Anna",SO-2,Bowdoin,5.37m,"17' 7.5""",Maine States' Pine Tree Classic,4/17/26,3.8
NCAA Div. III,NESCAC,SCIAC Outdoor Performance List (2024),Top 20,Long Jump,Women,17,"Stanton, Cameron",SO-2,Tufts,5.35m,"17' 6.75""",NESCAC Championship,4/25/26,0.8
